Country,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
Afghanistan,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.0013,7.028088,7.054876,7.081664,7.108452,7.13524,7.162028,7.188816,7.215604,7.242392,7.26918,7.295968,7.322756,7.349544,7.376332,7.40312,7.429908,7.456696,7.483484,7.510272,7.53706,7.563848,7.590636,7.617424,7.644212,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.671,7.67,7.67,7.67,7.669,7.669,7.67,7.671,7.673,7.676,7.679,7.681,7.682,7.682,7.682,7.687,7.7,7.725,7.758,7.796,7.832,7.859,7.869,7.854,7.809,7.733,7.623,7.484,7.321,7.136,6.93,6.702,6.456,6.196,5.928,5.659,5.395,5.141,4.9,4.676,4.47,4.282,4.106,3.941,3.785,3.639,3.502,3.375,3.258,3.151,3.053,2.964,2.882,2.806,2.736,2.67,2.609,2.552,2.498,2.447,2.399,2.353,2.31,2.269,2.23,2.193,2.157,2.124,2.092,2.062,2.034,2.007,1.981,1.957,1.934,1.912,1.892,1.872,1.854,1.837,1.821,1.806,1.793,1.78,1.768,1.758,1.748,1.739,1.731,1.725,1.718,1.713,1.709,1.706,1.703,1.701,1.7,1.699,1.699,1.699,1.699,1.7,1.701,1.702,1.703,1.705,1.707,1.709,1.712,1.714,1.717,1.72,1.723,1.726,1.729,1.732,1.735,1.738,1.741,1.743,1.746,1.749,1.753,1.756,1.759
Albania,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.4233427,4.2466855,4.070029,3.8933713,3.7167144,3.5400572,3.3634,3.5688667,3.7743332,3.9798,4.1852665,4.3907332,4.5962,3.7386,4.1942,3.752,4.4086,4.5824,4.7562,4.93,5.1038,5.2776,5.4514,5.6252,5.799,5.896,6.071,6.209,6.309,6.372,6.398,6.389,6.348,6.278,6.186,6.076,5.956,5.833,5.711,5.594,5.483,5.376,5.268,5.16,5.05,4.933,4.809,4.677,4.538,4.393,4.244,4.094,3.947,3.807,3.678,3.562,3.46,3.372,3.297,3.233,3.177,3.126,3.075,3.023,2.97,2.917,2.867,2.819,2.772,2.723,2.67,2.611,2.543,2.467,2.383,2.291,2.195,2.097,2.004,1.919,1.849,1.796,1.761,1.744,1.741,1.748,1.76,1.771,1.779,1.781,1.779,1.775,1.77,1.766,1.763,1.76,1.757,1.754,1.752,1.75,1.748,1.746,1.745,1.743,1.742,1.741,1.74,1.74,1.74,1.739,1.739,1.739,1.74,1.74,1.74,1.741,1.742,1.743,1.744,1.745,1.746,1.747,1.748,1.749,1.75,1.752,1.753,1.755,1.757,1.758,1.76,1.762,1.764,1.766,1.768,1.77,1.772,1.774,1.776,1.778,1.781,1.783,1.785,1.787,1.789,1.791,1.793,1.795,1.797,1.799,1.801,1.803,1.805,1.807,1.809,1.811,1.813,1.815,1.817,1.819,1.821,1.822,1.824,1.826,1.827,1.829,1.831,1.832,1.834,1.835,1.837,1.838,1.84,1.841
Algeria,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,6.9941,7.020216,7.046332,7.072448,7.098564,7.12468,7.150796,7.176912,7.203028,7.229144,7.25526,7.281376,7.307492,7.333608,7.359724,7.38584,7.411956,7.438072,7.464188,7.490304,7.51642,7.542536,7.568652,7.594768,7.620884,7.647,7.647,7.648,7.648,7.648,7.648,7.648,7.648,7.648,7.648,7.648,7.649,7.65,7.652,7.653,7.655,7.657,7.658,7.657,7.652,7.641,7.622,7.591,7.548,7.492,7.422,7.339,7.244,7.138,7.021,6.889,6.741,6.576,6.392,6.192,5.976,5.747,5.508,5.263,5.014,4.761,4.503,4.238,3.971,3.705,3.449,3.207,2.987,2.794,2.634,2.514,2.439,2.407,2.412,2.448,2.507,2.58,2.656,2.725,2.781,2.817,2.829,2.82,2.795,2.756,2.706,2.65,2.591,2.535,2.483,2.437,2.398,2.362,2.328,2.296,2.266,2.238,2.212,2.187,2.164,2.142,2.122,2.103,2.085,2.068,2.052,2.037,2.023,2.01,1.998,1.988,1.978,1.968,1.96,1.953,1.946,1.939,1.934,1.929,1.924,1.92,1.916,1.912,1.909,1.906,1.904,1.902,1.899,1.897,1.895,1.894,1.892,1.891,1.89,1.889,1.888,1.888,1.887,1.887,1.887,1.887,1.887,1.887,1.887,1.887,1.887,1.887,1.887,1.888,1.888,1.888,1.888,1.889,1.889,1.889,1.89,1.89,1.89,1.891,1.892,1.892,1.893,1.893,1.894,1.894,1.895,1.895,1.895,1.896,1.896
Angola,7.00272,7.00344,7.00416,7.00488,7.0056,7.00632,7.00704,7.00776,7.00848,7.0092,7.00992,7.01064,7.01136,7.01208,7.0128,7.01352,7.01424,7.01496,7.01568,7.0164,7.01712,7.01784,7.01856,7.01928,7.02,7.0162,7.0124,7.0086,7.0048,7.001,6.9972,6.9934,6.9896,6.9858,6.982,6.9782,6.9744,6.9706,6.9668,6.963,6.9592,6.9554,6.9516,6.9478,6.944,6.9402,6.9364,6.9326,6.9288,6.925,6.943,6.98,7.018,7.058,7.099,7.142,7.187,7.231,7.275,7.316,7.354,7.385,7.41,7.425,7.43,7.422,7.403,7.375,7.339,7.301,7.264,7.232,7.208,7.192,7.185,7.186,7.189,7.194,7.197,7.2,7.201,7.203,7.205,7.207,7.208,7.206,7.202,7.194,7.182,7.165,7.143,7.116,7.087,7.054,7.019,6.984,6.949,6.913,6.878,6.844,6.811,6.778,6.743,6.704,6.657,6.598,6.523,6.434,6.331,6.218,6.099,5.979,5.863,5.753,5.65,5.553,5.46,5.367,5.274,5.181,5.088,4.995,4.903,4.812,4.721,4.632,4.544,4.458,4.372,4.289,4.207,4.127,4.049,3.973,3.9,3.828,3.759,3.691,3.625,3.561,3.499,3.439,3.38,3.324,3.27,3.218,3.168,3.121,3.075,3.031,2.989,2.948,2.909,2.87,2.833,2.797,2.763,2.729,2.696,2.665,2.634,2.605,2.577,2.549,2.523,2.498,2.473,2.449,2.426,2.403,2.38,2.359,2.338,2.318,2.298,2.28,2.261,2.244,2.227,2.21,2.194,2.179,2.164,2.149,2.135,2.121,2.108,2.096,2.083,2.072,2.061,2.05,2.04,2.031,2.022,2.014,2.006,1.999,1.993
Antigua and Barbuda,4.626973,4.62328,4.6195865,4.6158934,4.6122,4.6085067,4.604813,4.60112,4.597427,4.5937333,4.59004,4.5863466,4.5826535,4.57896,4.575267,4.5715733,4.56788,4.5641866,4.5604935,4.5568,4.553107,4.549413,4.54572,4.5420265,4.5383334,4.53464,4.5309467,4.527253,4.52356,4.5198665,4.5161734,4.51248,4.5087867,4.505093,4.5014,4.497707,4.4940133,4.49032,4.4866266,4.4829335,4.47924,4.475547,4.4718533,4.46816,4.4644666,4.4607735,4.45708,4.453387,4.449693,4.446,4.464,4.496,4.518,4.531,4.534,4.528,4.513,4.49,4.46,4.425,4.386,4.344,4.299,4.25,4.193,4.125,4.042,3.942,3.824,3.684,3.517,3.328,3.122,2.908,2.701,2.514,2.358,2.239,2.159,2.115,2.098,2.096,2.098,2.098,2.092,2.082,2.07,2.062,2.058,2.061,2.073,2.096,2.128,2.166,2.208,2.248,2.281,2.304,2.316,2.316,2.305,2.288,2.268,2.246,2.224,2.203,2.183,2.164,2.146,2.13,2.115,2.102,2.089,2.076,2.063,2.051,2.04,2.029,2.018,2.008,1.998,1.989,1.98,1.971,1.963,1.955,1.948,1.941,1.934,1.928,1.922,1.916,1.91,1.905,1.9,1.895,1.891,1.887,1.883,1.879,1.876,1.873,1.871,1.868,1.866,1.864,1.862,1.86,1.859,1.857,1.856,1.855,1.854,1.853,1.852,1.852,1.851,1.851,1.851,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.851,1.851,1.852,1.852,1.853,1.853,1.854,1.854,1.855,1.855,1.856,1.856,1.857,1.857,1.858,1.858,1.859,1.86,1.86,1.861,1.862,1.862,1.863,1.864,1.864,1.865,1.866,1.867,1.867,1.868,1.869,1.87,1.87
Argentina,5.94156,5.9362,5.87724,5.81828,5.75932,5.70036,5.6414,5.56368,5.48596,5.40824,5.33052,5.2528,5.2764,5.3,5.227308,5.1546154,5.081923,5.0092306,4.9365387,4.8638463,4.791154,4.7184615,4.645769,4.5730767,4.500385,4.4276924,4.355,4.2612,4.1674,4.0736,3.9798,3.886,3.79756,3.70912,3.62068,3.53224,3.4438,3.43844,3.43308,3.42772,3.42236,3.417,3.3736,3.3302,3.2868,3.2434,3.2,3.188,3.176,3.164,3.162,3.157,3.152,3.146,3.141,3.136,3.13,3.124,3.117,3.109,3.1,3.089,3.078,3.068,3.058,3.051,3.048,3.049,3.056,3.073,3.104,3.148,3.203,3.264,3.321,3.366,3.391,3.391,3.368,3.325,3.27,3.213,3.163,3.123,3.093,3.073,3.056,3.037,3.016,2.989,2.956,2.918,2.875,2.827,2.774,2.717,2.657,2.596,2.535,2.477,2.424,2.379,2.34,2.31,2.286,2.268,2.254,2.241,2.228,2.215,2.201,2.188,2.175,2.162,2.149,2.137,2.125,2.113,2.101,2.089,2.078,2.067,2.056,2.045,2.035,2.025,2.016,2.006,1.997,1.989,1.98,1.972,1.965,1.957,1.951,1.944,1.938,1.932,1.927,1.922,1.917,1.912,1.908,1.904,1.9,1.896,1.893,1.889,1.886,1.883,1.88,1.878,1.875,1.874,1.872,1.871,1.87,1.869,1.868,1.867,1.866,1.865,1.864,1.863,1.862,1.862,1.861,1.861,1.861,1.861,1.861,1.861,1.861,1.861,1.861,1.861,1.862,1.862,1.862,1.863,1.863,1.863,1.864,1.864,1.864,1.864,1.865,1.865,1.865,1.866,1.866,1.867,1.868,1.868,1.869,1.87,1.871,1.871,1.872
Armenia,8.04,8.03,8.02,8.01,8.0,7.99,7.98,7.97,7.96,7.95,7.94,7.93,7.92,7.91,7.9,7.89,7.88,7.87,7.86,7.85,7.84,7.83,7.82,7.81,7.8,7.648053,7.4961066,7.34416,7.1922135,7.0402665,6.88832,6.7363734,6.584427,6.43248,6.2805333,6.128587,5.97664,5.824693,5.6727467,5.5208,4.556,3.3366,1.8224,1.742,2.3852,3.5778,4.1004,3.6314,4.0468,4.525,4.512,4.492,4.481,4.481,4.49,4.506,4.527,4.548,4.559,4.55,4.512,4.435,4.317,4.161,3.979,3.788,3.606,3.447,3.314,3.208,3.118,3.032,2.942,2.846,2.745,2.646,2.555,2.479,2.421,2.385,2.373,2.381,2.406,2.441,2.481,2.519,2.549,2.566,2.565,2.538,2.482,2.399,2.295,2.176,1.8,1.8,1.7,1.5,1.4,1.3,1.2,1.2,1.4,1.4,1.4,1.3,1.4,1.4,1.6,1.55,1.5,1.739,1.74,1.74,1.741,1.742,1.743,1.744,1.745,1.746,1.748,1.749,1.75,1.751,1.752,1.753,1.754,1.755,1.757,1.758,1.759,1.761,1.762,1.764,1.766,1.768,1.77,1.771,1.773,1.775,1.776,1.778,1.779,1.781,1.782,1.784,1.786,1.788,1.789,1.791,1.793,1.795,1.797,1.799,1.801,1.803,1.804,1.806,1.808,1.809,1.811,1.812,1.814,1.815,1.817,1.819,1.82,1.822,1.823,1.824,1.826,1.827,1.828,1.83,1.831,1.833,1.835,1.836,1.838,1.839,1.84,1.841,1.842,1.843,1.844,1.845,1.846,1.848,1.849,1.85,1.851,1.852,1.854,1.855,1.856,1.858,1.859,1.86,1.861
Aruba,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64805,5.6561,5.66415,5.6722,5.68025,5.6883,5.69635,5.7044,5.71245,5.7205,5.72855,5.7366,5.74465,5.7527,5.76075,5.7688,5.77685,5.7849,5.79295,5.801,5.767,5.695,5.616,5.53,5.436,5.334,5.223,5.102,4.969,4.82,4.655,4.471,4.271,4.059,3.842,3.625,3.417,3.226,3.054,2.908,2.788,2.691,2.613,2.552,2.506,2.472,2.446,2.425,2.408,2.392,2.377,2.364,2.353,2.342,2.332,2.32,2.307,2.291,2.272,2.249,2.221,2.187,2.149,2.108,2.064,2.021,1.979,1.94,1.905,1.874,1.848,1.825,1.805,1.786,1.769,1.754,1.739,1.726,1.713,1.701,1.69,1.681,1.673,1.667,1.663,1.66,1.659,1.66,1.661,1.663,1.666,1.67,1.673,1.677,1.68,1.684,1.687,1.69,1.693,1.697,1.7,1.703,1.707,1.71,1.714,1.718,1.721,1.725,1.729,1.732,1.736,1.739,1.742,1.746,1.749,1.752,1.755,1.758,1.76,1.763,1.766,1.769,1.772,1.775,1.778,1.781,1.783,1.786,1.789,1.791,1.794,1.796,1.799,1.801,1.803,1.806,1.808,1.81,1.812,1.815,1.817,1.819,1.821,1.823,1.825,1.827,1.829,1.831,1.832,1.834,1.836,1.838,1.84,1.842,1.843,1.845,1.847,1.848,1.85,1.851,1.852,1.854,1.855,1.856,1.857,1.858,1.859,1.86,1.86
Australia,3.6448,3.5778,3.3902,3.5376,3.5108,3.35,3.35,3.35,3.35,3.35,3.51,3.51,3.51,3.51,3.51,3.07,3.07,3.07,3.07,3.07,3.119,3.106,3.016,2.972,2.95,2.848,2.8,2.768,2.635,2.581,2.359,2.187,2.166,2.107,2.115,2.178,2.208,2.205,2.222,2.256,2.364,2.375,2.569,2.63,2.736,2.986,3.076,2.985,2.986,3.067,3.059,3.181,3.193,3.191,3.275,3.33,3.421,3.421,3.44,3.451,3.548,3.431,3.343,3.154,2.973,2.885,2.847,2.886,2.887,2.859,2.945,2.743,2.491,2.321,2.148,2.06,2.007,1.949,1.907,1.891,1.935,1.929,1.924,1.84,1.923,1.868,1.845,1.831,1.838,1.902,1.849,1.888,1.859,1.842,1.822,1.796,1.778,1.762,1.755,1.756,1.729,1.756,1.748,1.763,1.791,1.817,1.92,1.956,1.903,1.886,1.884,1.887,1.882,1.878,1.876,1.874,1.873,1.872,1.871,1.87,1.869,1.868,1.867,1.865,1.864,1.863,1.863,1.862,1.861,1.861,1.861,1.861,1.86,1.86,1.86,1.859,1.859,1.859,1.859,1.859,1.859,1.859,1.859,1.859,1.859,1.859,1.859,1.859,1.859,1.859,1.86,1.86,1.86,1.861,1.861,1.861,1.861,1.862,1.862,1.862,1.863,1.863,1.864,1.865,1.865,1.866,1.867,1.867,1.868,1.869,1.869,1.87,1.87,1.871,1.872,1.872,1.873,1.873,1.874,1.874,1.875,1.875,1.876,1.876,1.876,1.877,1.877,1.877,1.878,1.878,1.879,1.88,1.88,1.881,1.882,1.883,1.885,1.886,1.887
Austria,4.3372555,4.3457913,4.127855,4.1679015,3.9877143,4.0075936,3.8934264,3.8338776,3.7973495,3.6871488,3.4978707,3.5029216,3.333706,3.203022,3.072338,2.9416542,2.8109705,2.6802866,2.5496027,3.1374383,3.20934,3.1936631,3.100078,2.9915655,2.850102,2.6615944,2.474458,2.426523,2.3220565,2.3208086,2.1900296,2.1002731,1.9729598,1.8720205,1.811569,1.8036255,1.54,1.918354,2.86103,2.697525,2.5340202,2.370515,2.20701,2.043505,1.88,1.8772,1.8744,1.8716,1.8688,1.866,2.021,2.061,2.094,2.156,2.289,2.486,2.572,2.6,2.688,2.696,2.786,2.8,2.821,2.795,2.703,2.663,2.621,2.586,2.488,2.292,2.2,2.085,1.938,1.908,1.827,1.688,1.631,1.604,1.598,1.652,1.674,1.661,1.559,1.522,1.474,1.449,1.432,1.447,1.446,1.457,1.507,1.505,1.501,1.465,1.424,1.446,1.393,1.37,1.34,1.365,1.33,1.393,1.376,1.419,1.406,1.405,1.379,1.411,1.391,1.438,1.443,1.457,1.471,1.484,1.496,1.508,1.519,1.53,1.54,1.55,1.56,1.57,1.579,1.588,1.597,1.606,1.614,1.622,1.63,1.637,1.644,1.652,1.659,1.665,1.672,1.678,1.684,1.69,1.696,1.701,1.706,1.711,1.716,1.721,1.726,1.73,1.735,1.739,1.744,1.748,1.751,1.755,1.759,1.762,1.766,1.769,1.772,1.775,1.778,1.781,1.784,1.787,1.79,1.793,1.796,1.799,1.802,1.804,1.807,1.809,1.811,1.813,1.815,1.817,1.819,1.821,1.823,1.825,1.827,1.828,1.83,1.832,1.833,1.835,1.836,1.838,1.84,1.841,1.843,1.844,1.846,1.847,1.848,1.85,1.851,1.852,1.853,1.855,1.856
